學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
87	0001	國立政治大學	320102	傳播學系	D 日	M 碩士	196	0	10	30 臺北市	1 一般
88	0001	國立政治大學	320102	傳播學系	D 日	B 學士	38	0	23	30 臺北市	1 一般
89	0001	國立政治大學	320115	國際傳播學位學程	D 日	M 碩士	51	0	11	30 臺北市	1 一般
90	0001	國立政治大學	320201	新聞學系	D 日	D 博士	12	0	3	30 臺北市	1 一般
91	0001	國立政治大學	320201	新聞學系	D 日	M 碩士	16	0	28	30 臺北市	1 一般
92	0001	國立政治大學	320201	新聞學系	D 日	B 學士	180	13	86	30 臺北市	1 一般
93	0001	國立政治大學	320301	廣播電視(電影)學系	D 日	M 碩士	16	0	16	30 臺北市	1 一般
94	0001	國立政治大學	320301	廣播電視(電影)學系	D 日	B 學士	147	9	48	30 臺北市	1 一般
95	0001	國立政治大學	320602	(數位)圖書資訊學系	N 職	M 碩士	0	0	16	30 臺北市	1 一般
96	0001	國立政治大學	320603	圖書資訊與檔案學研究所	D 日	D 博士	13	0	1	30 臺北市	1 一般
97	0001	國立政治大學	320603	圖書資訊與檔案學研究所	D 日	M 碩士	48	6	11	30 臺北市	1 一般
98	0001	國立政治大學	320603	圖書資訊與檔案學研究所	N 職	M 碩士	61	0	0	30 臺北市	1 一般
99	0001	國立政治大學	320802	廣告學系	D 日	M 碩士	2	0	13	30 臺北市	1 一般
100	0001	國立政治大學	320802	廣告學系	D 日	B 學士	168	9	56	30 臺北市	1 一般
101	0001	國立政治大學	329999	傳播學院(不分系)	D 日	D 博士	20	0	0	30 臺北市	1 一般
102	0001	國立政治大學	329999	傳播學院(不分系)	D 日	B 學士	416	16	0	30 臺北市	1 一般
103	0001	國立政治大學	329999	傳播學院(不分系)	N 職	M 碩士	71	0	9	30 臺北市	1 一般
104	0001	國立政治大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	D 博士	15	0	2	30 臺北市	1 一般
105	0001	國立政治大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	M 碩士	141	0	63	30 臺北市	1 一般
106	0001	國立政治大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	B 學士	449	21	104	30 臺北市	1 一般
107	0001	國立政治大學	340301	企業管理學系	D 日	D 博士	49	0	2	30 臺北市	1 一般
108	0001	國立政治大學	340301	企業管理學系	D 日	M 碩士	269	0	105	30 臺北市	1 一般
109	0001	國立政治大學	340301	企業管理學系	D 日	B 學士	448	24	98	30 臺北市	1 一般
110	0001	國立政治大學	340303	經營(與)管理(技術)學系	N 職	M 碩士	577	0	149	30 臺北市	1 一般
111	0001	國立政治大學	340310	國際(經營)(專業)管理學位學程(含IMBA)	D 日	M 碩士	142	2	51	30 臺北市	1 一般
112	0001	國立政治大學	340408	國際經營與貿易學系	D 日	D 博士	4	0	0	30 臺北市	1 一般
113	0001	國立政治大學	340408	國際經營與貿易學系	D 日	M 碩士	111	0	45	30 臺北市	1 一般
114	0001	國立政治大學	340408	國際經營與貿易學系	D 日	B 學士	336	23	87	30 臺北市	1 一般
115	0001	國立政治大學	340504	(應用)財務(金融)管理學系	D 日	D 博士	10	0	5	30 臺北市	1 一般
116	0001	國立政治大學	340504	(應用)財務(金融)管理學系	D 日	M 碩士	82	0	37	30 臺北市	1 一般
117	0001	國立政治大學	340504	(應用)財務(金融)管理學系	D 日	B 學士	206	12	50	30 臺北市	1 一般
118	0001	國立政治大學	340505	金融學系	D 日	D 博士	29	0	5	30 臺北市	1 一般
119	0001	國立政治大學	340505	金融學系	D 日	M 碩士	81	0	26	30 臺北市	1 一般
120	0001	國立政治大學	340505	金融學系	D 日	B 學士	249	11	61	30 臺北市	1 一般
121	0001	國立政治大學	340601	風險管理(與保險)學系	D 日	D 博士	18	0	1	30 臺北市	1 一般
122	0001	國立政治大學	340601	風險管理(與保險)學系	D 日	M 碩士	66	0	29	30 臺北市	1 一般
123	0001	國立政治大學	340601	風險管理(與保險)學系	D 日	B 學士	204	12	52	30 臺北市	1 一般
124	0001	國立政治大學	340701	財政學系	D 日	D 博士	11	0	2	30 臺北市	1 一般
125	0001	國立政治大學	340701	財政學系	D 日	M 碩士	76	0	29	30 臺北市	1 一般
126	0001	國立政治大學	340701	財政學系	D 日	B 學士	427	15	105	30 臺北市	1 一般
127	0001	國立政治大學	349984	科技管理與智慧財產研究所	D 日	D 博士	31	0	1	30 臺北市	1 一般
128	0001	國立政治大學	349984	科技管理與智慧財產研究所	D 日	M 碩士	147	12	36	30 臺北市	1 一般
129	0001	國立政治大學	349998	商學院(不分系)	D 日		0	2	0	30 臺北市	1 一般
130	0001	國立政治大學	380101	法律學系	D 日	D 博士	45	0	2	30 臺北市	1 一般
131	0001	國立政治大學	380101	法律學系	D 日	M 碩士	259	0	39	30 臺北市	1 一般
132	0001	國立政治大學	380101	法律學系	D 日	B 學士	736	30	205	30 臺北市	1 一般
133	0001	國立政治大學	380204	法律科際整合研究所	D 日	M 碩士	103	7	12	30 臺北市	1 一般
134	0001	國立政治大學	389998	法學院	N 職	M 碩士	268	6	41	30 臺北市	1 一般
135	0001	國立政治大學	440302	應用物理學系	D 日	M 碩士	22	5	3	30 臺北市	1 一般
136	0001	國立政治大學	460102	應用數學系	D 日	D 博士	7	0	0	30 臺北市	1 一般
137	0001	國立政治大學	460102	應用數學系	D 日	M 碩士	42	0	12	30 臺北市	1 一般
138	0001	國立政治大學	460102	應用數學系	D 日	B 學士	188	14	43	30 臺北市	1 一般
139	0001	國立政治大學	460201	統計(科學)(資訊)學系	D 日	D 博士	4	0	0	30 臺北市	1 一般
140	0001	國立政治大學	460201	統計(科學)(資訊)學系	D 日	M 碩士	69	0	23	30 臺北市	1 一般
141	0001	國立政治大學	460201	統計(科學)(資訊)學系	D 日	B 學士	214	16	47	30 臺北市	1 一般
142	0001	國立政治大學	480109	資訊管理(技術)學系	D 日	D 博士	52	0	6	30 臺北市	1 一般
143	0001	國立政治大學	480109	資訊管理(技術)學系	D 日	M 碩士	79	0	42	30 臺北市	1 一般
144	0001	國立政治大學	480109	資訊管理(技術)學系	D 日	B 學士	332	22	76	30 臺北市	1 一般
145	0001	國立政治大學	480505	數位內容(科技)(與)(管理)學系	D 日	M 碩士	45	0	16	30 臺北市	1 一般
146	0001	國立政治大學	520116	資訊科學學系	D 日	D 博士	15	0	0	30 臺北市	1 一般
147	0001	國立政治大學	520116	資訊科學學系	D 日	M 碩士	104	0	35	30 臺北市	1 一般
148	0001	國立政治大學	520116	資訊科學學系	D 日	B 學士	207	19	41	30 臺北市	1 一般
149	0001	國立政治大學	520116	資訊科學學系	N 職	M 碩士	78	0	18	30 臺北市	1 一般
150	0001	國立政治大學	520178	社群網路與人智計算學位學程	D 日	D 博士	8	0	0	30 臺北市	1 一般
151	0001	國立政治大學	720111	神經科學研究所	D 日	M 碩士	13	5	4	30 臺北市	1 一般
152	0001	國立政治大學	760301	(社會政策與)社會工作學系	D 日	D 博士	12	0	0	30 臺北市	1 一般
153	0001	國立政治大學	760301	(社會政策與)社會工作學系	D 日	M 碩士	54	6	8	30 臺北市	1 一般
154	0001	國立政治大學	999901	通識及共同科目	D 日		0	32	0	30 臺北市	1 一般
155	0001	國立政治大學	999903	軍訓教官	D 日		0	5	0	30 臺北市	1 一般
156	0001	國立政治大學	999905	師資培育中心	D 日		0	4	0	30 臺北市	1 一般
157	0001	國立政治大學	999999	其他(包括行政助教)	D 日		0	0	0	30 臺北市	1 一般
158	0002	國立清華大學	220101	臺灣文學系	D 日	D 博士	13	0	0	18 新竹市	1 一般
159	0002	國立清華大學	220101	臺灣文學系	D 日	M 碩士	45	7	6	18 新竹市	1 一般
160	0002	國立清華大學	220201	(中)國(語)文學系	D 日	D 博士	64	0	9	18 新竹市	1 一般
161	0002	國立清華大學	220201	(中)國(語)文學系	D 日	M 碩士	77	0	8	18 新竹市	1 一般
162	0002	國立清華大學	220201	(中)國(語)文學系	D 日	B 學士	206	17	48	18 新竹市	1 一般
163	0002	國立清華大學	220301	外國語文學系	D 日	M 碩士	57	0	5	18 新竹市	1 一般
164	0002	國立清華大學	220301	外國語文學系	D 日	B 學士	223	16	44	18 新竹市	1 一般
165	0002	國立清華大學	220701	語言學研究所	D 日	D 博士	19	0	3	18 新竹市	1 一般
166	0002	國立清華大學	220701	語言學研究所	D 日	M 碩士	41	9	16	18 新竹市	1 一般
167	0002	國立清華大學	220901	(歷)史學系	D 日	D 博士	21	0	2	18 新竹市	1 一般
168	0002	國立清華大學	220901	(歷)史學系	D 日	M 碩士	52	8	11	18 新竹市	1 一般
169	0002	國立清華大學	221001	人類學系	D 日	D 博士	12	0	0	18 新竹市	1 一般
170	0002	國立清華大學	221001	人類學系	D 日	M 碩士	32	8	12	18 新竹市	1 一般
171	0002	國立清華大學	221101	哲學系	D 日	M 碩士	19	7	7	18 新竹市	1 一般
172	0002	國立清華大學	229916	亞際文化研究學位學程	D 日	M 碩士	8	0	1	18 新竹市	1 一般
173	0002	國立清華大學	229999	人文(與)社會學院(不分系)	D 日	B 學士	343	9	76	18 新竹市	1 一般
174	0002	國立清華大學	310101	經濟學系	D 日	D 博士	24	0	1	18 新竹市	1 一般
175	0002	國立清華大學	310101	經濟學系	D 日	M 碩士	48	0	19	18 新竹市	1 一般
176	0002	國立清華大學	310101	經濟學系	D 日	B 學士	465	25	118	18 新竹市	1 一般
177	0002	國立清華大學	310301	社會學系	D 日	D 博士	16	0	2	18 新竹市	1 一般
178	0002	國立清華大學	310301	社會學系	D 日	M 碩士	74	9	22	18 新竹市	1 一般
179	0002	國立清華大學	310719	臺灣研究所	N 職	M 碩士	59	0	9	18 新竹市	1 一般
180	0002	國立清華大學	310807	公共政策與管理學系	N 職	M 碩士	16	0	0	18 新竹市	1 一般
181	0002	國立清華大學	311019	學習科學研究所	D 日	M 碩士	36	5	16	18 新竹市	1 一般
182	0002	國立清華大學	340303	經營(與)管理(技術)學系	N 職	M 碩士	117	0	34	18 新竹市	1 一般
183	0002	國立清華大學	340310	國際(經營)(專業)管理學位學程(含IMBA)	D 日	M 碩士	56	0	12	18 新竹市	1 一般
184	0002	國立清華大學	340501	(計量)(數量)財務金融學系	D 日	M 碩士	56	0	22	18 新竹市	1 一般
185	0002	國立清華大學	340501	(計量)(數量)財務金融學系	D 日	B 學士	227	13	47	18 新竹市	1 一般
186	0002	國立清華大學	340501	(計量)(數量)財務金融學系	N 職	M 碩士	16	1	0	18 新竹市	1 一般
187	0002	國立清華大學	349901	(商務)科技管理系	D 日	D 博士	34	0	1	18 新竹市	1 一般
188	0002	國立清華大學	349901	(商務)科技管理系	D 日	M 碩士	62	11	24	18 新竹市	1 一般
189	0002	國立清華大學	349939	高階(主管)(經營)(企業)管理碩士(EMBA)	N 職	M 碩士	102	0	37	18 新竹市	1 一般
190	0002	國立清華大學	349951	服務科學(管理)研究所	D 日	D 博士	9	0	0	18 新竹市	1 一般
191	0002	國立清華大學	349951	服務科學(管理)研究所	D 日	M 碩士	53	8	17	18 新竹市	1 一般
192	0002	國立清華大學	349996	科技管理學院(不分系)	D 日	B 學士	197	0	39	18 新竹市	1 一般
193	0002	國立清華大學	380203	科技法律學系	D 日	D 博士	5	0	0	18 新竹市	1 一般
194	0002	國立清華大學	380203	科技法律學系	D 日	M 碩士	110	12	17	18 新竹市	1 一般
